Frequency,Sex,ageCohort,SpeechRate
2nd frequency quartile,female,1951-1975,5.857295
4th frequency quartile,female,1926-1950,3.861004
1st frequency quartile,male,1951-1975,7.664381
3rd frequency quartile,male,1926-1950,7.220217
4th frequency quartile,male,1951-1975,7.886435
4th frequency quartile,female,1951-1975,5.529226
4th frequency quartile,male,1951-1975,5.77034
2nd frequency quartile,female,1951-1975,5.55115
3rd frequency quartile,female,1976-2000,6.168609
4th frequency quartile,female,1926-1950,6
2nd frequency quartile,male,1976-2000,5.762179
3rd frequency quartile,female,1951-1975,5.331302
1st frequency quartile,male,1926-1950,4.036327
1st frequency quartile,female,1976-2000,5.588822
2nd frequency quartile,female,1976-2000,6.736069
4th frequency quartile,male,1900-1925,4.096262
3rd frequency quartile,male,1926-1950,5.408329
2nd frequency quartile,male,1926-1950,8.226221
2nd frequency quartile,male,1976-2000,5.668016
4th frequency quartile,female,1976-2000,2.624672
4th frequency quartile,female,1926-1950,4.798464
4th frequency quartile,male,1926-1950,5.560704
4th frequency quartile,male,1976-2000,6.302521
2nd frequency quartile,male,1976-2000,8.183306
2nd frequency quartile,male,1976-2000,7.458711
4th frequency quartile,male,1976-2000,5.901288
3rd frequency quartile,male,1926-1950,5.976096
2nd frequency quartile,female,1951-1975,7.142857
2nd frequency quartile,male,1926-1950,5.898545
4th frequency quartile,female,1951-1975,6.878105
2nd frequency quartile,female,1976-2000,4.704652
2nd frequency quartile,female,1951-1975,5.460751
3rd frequency quartile,male,1900-1925,3.38696
2nd frequency quartile,male,1951-1975,5.046864
2nd frequency quartile,male,1900-1925,5.174644
2nd frequency quartile,male,1926-1950,3.997093
1st frequency quartile,female,1976-2000,4.214963
3rd frequency quartile,female,1951-1975,3.263403
3rd frequency quartile,female,1951-1975,3.125
1st frequency quartile,female,1976-2000,3.12989
4th frequency quartile,female,1976-2000,7.536505
1st frequency quartile,male,1951-1975,6.162828
2nd frequency quartile,male,1951-1975,6.484484
3rd frequency quartile,male,1900-1925,3.613836
1st frequency quartile,male,1951-1975,2.666667
1st frequency quartile,female,1951-1975,4.024145
4th frequency quartile,male,1926-1950,6.256901
2nd frequency quartile,female,1951-1975,4.898959
3rd frequency quartile,male,1976-2000,7.029227
3rd frequency quartile,female,1926-1950,3.322259
3rd frequency quartile,female,1976-2000,4.461222
3rd frequency quartile,male,1951-1975,6.622517
3rd frequency quartile,female,1926-1950,3.139013
2nd frequency quartile,female,1976-2000,6.964809
3rd frequency quartile,male,1900-1925,5.866667
2nd frequency quartile,female,1951-1975,6.067292
3rd frequency quartile,female,1900-1925,4.569688
1st frequency quartile,female,1976-2000,6.654836
4th frequency quartile,male,1976-2000,8.62069
1st frequency quartile,female,1976-2000,6.663494
4th frequency quartile,female,1926-1950,3.826531
1st frequency quartile,male,1976-2000,6.454816
3rd frequency quartile,female,1926-1950,3.404669
2nd frequency quartile,male,1976-2000,6.344558
4th frequency quartile,female,1926-1950,5.506608
1st frequency quartile,female,1900-1925,5.045409
3rd frequency quartile,female,1951-1975,6.933333
4th frequency quartile,male,1951-1975,5.688282
4th frequency quartile,male,1951-1975,5.050505
4th frequency quartile,female,1926-1950,6.008011
1st frequency quartile,female,1951-1975,5.665722
3rd frequency quartile,male,1951-1975,5.108055
3rd frequency quartile,male,1976-2000,4.464286
1st frequency quartile,male,1976-2000,4.851425
