Type,Freq.Const.Speaker,Agt.Freq.Noun,Tense,Pr.2.Pr,Co.2.Pr,Polarity,Style,Gender,Age,Education
Singular,0.2588,0,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2529,0.185,All.Others,No.Priming,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2614,0.185,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2584,0,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2556,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2637,0.03,All.Others,Singular,Singular,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2717,0.005,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2796,0.12,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2872,0.03,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2842,0.03,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2959,0.04,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.29,0.14,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.297,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3039,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3107,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3173,0.005,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3208,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3271,0.02,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3333,0.005,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3394,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3455,0.035,Present-Preterit,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3514,0.005,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3571,0.005,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3596,0.07,All.Others,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0,0.02,Present-Preterit,Singular,Pluralized,Positive,Interview,Female,Youngest.Speakers,University
Singular,0,0.15,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Female,Youngest.Speakers,University
Singular,0,0.045,Present-Preterit,No.Priming,Singular,Positive,Interview,Female,Youngest.Speakers,University
Singular,0,0.03,Present-Preterit,No.Priming,Pluralized,Positive,Interview,Female,Youngest.Speakers,University
Singular,0,0.01,All.Others,No.Priming,No.Priming,Positive,Interview,Female,Youngest.Speakers,University
Plural,0,0.185,All.Others,Singular,No.Priming,Positive,Interview,Female,Youngest.Speakers,University
Singular,0.1667,0,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Female,Youngest.Speakers,University
Singular,0.1429,0.01,Present-Preterit,No.Priming,Singular,Positive,Interview,Female,Youngest.Speakers,University
Singular,0.125,0,Present-Preterit,Singular,Singular,Positive,Interview,Female,Youngest.Speakers,University
Singular,0.1111,0.035,Present-Preterit,Singular,Singular,Positive,Interview,Female,Youngest.Speakers,University
Singular,0.1,0.12,Present-Preterit,Singular,Singular,Positive,Interview,Female,Youngest.Speakers,University
Singular,0.0909,0.185,Present-Preterit,No.Priming,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.0833,0,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.0769,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.0714,0.03,All.Others,Singular,Singular,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.1333,0.005,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.125,0.12,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.1765,0.12,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.1667,0.03,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.1579,0.12,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.15,0.03,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.1429,0.03,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.1364,0.14,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.1304,0.14,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.125,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.1154,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.1481,0.02,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.1786,0.005,All.Others,No.Priming,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.2069,0.005,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.2333,0.005,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.2581,0.005,All.Others,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.2813,0.005,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.2727,0.07,All.Others,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.2941,0.07,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3143,0.015,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3333,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3514,0.12,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.359,0.12,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3415,0.12,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3333,0.12,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3256,0.025,Present-Preterit,Singular,No.Priming,Positive,Interview,Female,Youngest.Speakers,University
Singular,0.3182,0.015,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3261,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3191,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3125,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3061,0.03,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.32,0.015,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3137,0.045,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3077,0.04,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3208,0.04,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3148,0.22,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3273,0.09,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3214,0.03,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3333,0,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3276,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.322,0.02,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3333,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3443,0.03,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3387,0,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3333,0.05,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3438,0.04,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3538,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3485,0.105,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3582,0.3,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3529,0.3,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3478,0.3,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3429,0.12,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3521,0.12,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3611,0.135,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3699,0.005,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3733,0.005,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3816,0.01,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3766,0.05,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3718,0.015,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.375,0.015,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3827,0.065,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3902,0.01,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.3976,0.19,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.3929,0.075,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.4,0.09,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.407,0,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4138,0,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.4091,0.095,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4222,0.015,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0,0.12,Present-Preterit,Singular,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Singular,0,0.12,Present-Preterit,Singular,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Singular,0,0.12,All.Others,No.Priming,Pluralized,Negative,Interview,Male,Oldest.Speakers,University
Singular,0,0.12,Present-Preterit,Singular,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Plural,0.1667,0,All.Others,Singular,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Plural,0.2857,0.19,All.Others,No.Priming,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Plural,0.375,0.015,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Plural,0.4444,0.005,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Singular,0.4,0.15,Present-Preterit,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Singular,0.3636,0.125,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Male,Oldest.Speakers,University
Singular,0.3333,0.005,All.Others,No.Priming,No.Priming,Positive,Interview,Male,Oldest.Speakers,University
Plural,0.3846,0.02,All.Others,Singular,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Plural,0.4286,0.02,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Plural,0.4667,0.02,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Singular,0.4375,0.02,Present-Preterit,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,University
Plural,0.4706,0.03,All.Others,No.Priming,No.Priming,Positive,Interview,Male,Oldest.Speakers,University
Plural,0.5,0.035,All.Others,Pluralized,Singular,Positive,Interview,Male,Oldest.Speakers,University
Singular,0.4286,0.185,Present-Preterit,No.Priming,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.4091,0,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3913,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.375,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.36,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3462,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Plural,0.3704,0.05,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3571,0.005,Present-Preterit,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3448,0.015,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Plural,0.3667,0.12,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Plural,0.3871,0.12,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.375,0,Present-Preterit,Pluralized,No.Priming,Positive,Interview,Male,Oldest.Speakers,University
Singular,0.3636,0.12,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3529,0,Present-Preterit,Singular,No.Priming,Positive,Interview,Male,Oldest.Speakers,University
Singular,0.3611,0.005,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3514,0.02,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3421,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3333,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.325,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3171,0.005,All.Others,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3095,0.005,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.3023,0.005,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Singular,0.2955,0.07,All.Others,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
Plural,0.3111,0.015,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,University
