norm_F1,Proactive,Reactive,Style,BirthYear,Sex,PartnerEthnicity,PhillyLiveTime,HighSchoolType,Occupation_Group,wordLength
729,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
677,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
968,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
718,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
703,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
671,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
694,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
488,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
673,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
582,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
622,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
752,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
917,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
735,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
748,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
729,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
754,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
650,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
680,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
816,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
770,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
774,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
865,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
790,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
1002,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
944,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
844,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,6
632,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
916,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
871,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,5
1008,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
740,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
709,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
794,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
806,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
817,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
776,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
595,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
892,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
667,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
862,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
844,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
849,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
774,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
625,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
684,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
660,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
833,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
813,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
744,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
774,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
681,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
670,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
912,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,5
961,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
771,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
450,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
699,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
692,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
765,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
1011,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
856,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
500,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
885,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
775,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
622,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
1049,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
930,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
645,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
985,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
657,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
955,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
841,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
678,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
815,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
652,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
699,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
1053,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
694,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
703,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
651,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
722,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
768,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
804,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
672,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
682,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,9
499,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
737,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
745,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
963,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
901,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
806,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
911,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
758,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,3
741,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
798,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
843,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
726,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
952,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
748,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
685,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,5
930,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
795,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
984,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
846,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
713,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
925,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,5
664,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
768,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
644,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
669,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
715,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
865,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
749,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
911,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
823,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,8
882,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
738,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
859,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
573,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
647,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
677,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
655,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
847,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
677,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
654,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
835,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
679,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
593,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
647,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
632,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
674,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
871,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
857,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,6
663,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
800,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
980,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
748,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
685,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
647,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
609,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
917,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
511,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,10
557,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,9
624,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
655,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
619,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
773,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
627,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
657,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
797,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
922,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
675,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
662,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
647,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
847,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,6
972,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
759,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
736,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
791,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
896,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,3
825,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
955,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,3
566,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,10
614,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
663,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
769,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
934,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
972,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
793,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,7
821,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
699,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
709,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
856,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,5
593,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
776,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
731,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
760,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,6
748,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
608,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
931,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
849,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
961,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
724,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
703,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
859,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,3
971,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
879,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
914,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
764,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
814,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
858,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
