Word,AgeOfAcquisition,WordLength
denizen,14.36,7
slipshod,15.64,8
cadge,15.2,5
battlefield,8.25,11
cryonics,13.4,8
perforate,13.05,9
ski,6.68,3
excruciating,12.62,12
stipulate,11.72,9
swab,8.94,4
jeep,6.32,4
forester,10.44,8
advise,8.89,6
cantabile,11.67,9
renter,10,6
executive,11.65,9
investiture,16.23,11
rainwater,6.21,9
godhood,14.77,7
extortion,13.17,9
pottage,13.88,7
divertissement,16.7,14
fudgy,8.11,5
dreamland,7.29,9
charismatic,12.47,11
demo,11.21,4
poach,10.06,5
prowler,10.06,7
inaction,10.72,8
vicarious,14.47,9
kneader,10.62,7
crinkle,8.5,7
transgress,15.33,10
misinterpretation,11.33,17
operculum,15.8,9
fructose,14.5,8
feminization,14.06,12
revolution,10,10
arrestee,12.06,8
flutter,8.35,7
yen,12.68,3
logbook,12.22,7
dartboard,8.44,9
mescaline,16.31,9
ergot,14.23,5
albacore,14.47,8
semiautomatic,13.61,13
ell,12.5,3
calcite,14.27,7
leafy,5.62,5
inebriated,14.58,10
octogenarian,15.75,12
tropic,10.37,6
offer,7.48,5
artery,13.06,6
coldblooded,8.95,11
idiomatic,14.69,9
locomotion,8.95,10
skitter,10.83,7
vainglorious,14.09,12
hoaxer,12.25,6
redraw,10.89,6
offbeat,10.11,7
forestall,11.8,9
active,6.53,6
femoral,13.31,7
celebration,7.05,11
incomprehensible,11.42,16
counteragent,14.06,12
furlong,13,7
subculture,14.82,10
foremost,11.78,8
toolbox,6.67,7
campfire,5.11,8
summery,9.93,7
army,7.15,4
comprehensiveness,12.83,17
disprove,10.21,8
detonative,15.58,10
translucence,14.18,12
disorderly,9.63,10
utilitarian,15.5,11
oversized,9.89,9
reintegrate,12.9,11
padding,8.45,7
leaded,8.22,6
vivacious,13.44,9
inviter,8.79,7
sisterly,8.35,8
espionage,10.6,9
globe,6.5,5
fundamental,9.9,11
grafter,12.17,7
intervention,13.11,12
pullover,8.05,8
placer,10.6,6
result,8.22,6
yodel,8.16,5
copper,7.95,6
flatfoot,11.11,8
toxemia,16.71,7
tracksuit,10.5,9
locator,9.05,7
aperitif,15.22,8
intrinsic,15.54,9
nationalistic,14.07,13
madrigal,14.1,8
dogwatch,9.08,8
upload,13.33,6
brownnoser,11.74,10
dandyish,14.93,8
violator,10.92,8
reinstate,12.62,9
famine,10,6
intriguing,10.31,10
pandowdy,13.8,8
hen,6.39,3
coronal,11.36,7
repulsive,10.32,9
keyboardist,9.94,11
python,7.89,6
goalkeeper,8,10
palsy,14.25,5
sham,11.6,4
tireless,11.05,8
amateurish,12.57,10
orthopedist,14.44,11
triangular,7.8,10
ashes,7.06,5
billionaire,9.68,11
vasopressin,17.4,11
sloth,8.37,5
defeat,8.74,6
realtor,11.71,7
pho,15.38,3
verbalize,11.16,9
amuse,9,5
benefactor,11.25,10
extortionate,15.11,12
psychic,11.47,7
presenter,8.9,9
toggle,12.56,6
bobsleigh,8.69,9
mathematics,6.78,11
snorer,7.79,6
roundabout,12.74,10
tactical,11.75,8
barbarity,13.06,9
blackmail,10.05,9
klutziness,9.56,10
scatology,14.25,9
radicalism,14.41,10
womb,9.48,4
sacrilegious,11.28,12
pavement,6.3,8
discordant,14.21,10
cosy,7.54,4
condescending,11.95,13
nipple,9.05,6
curare,15.67,6
citation,12.95,8
defender,9.05,8
licensure,13.73,9
willies,8.9,7
banshee,12.06,7
wham,7.44,4
worshipper,7.79,10
wedded,9.76,6
sibling,7.58,7
provable,9.82,8
executor,12.61,8
plumber,8.56,7
wold,15.25,4
devilfish,13.21,9
transgender,14.68,11
drooping,8.21,8
stirrer,8.56,7
coffeepot,5.53,9
pinchpenny,11.4,10
reassess,12.79,8
inaccessible,10.94,12
profaner,13.23,8
ripe,7.11,4
colloquial,13.92,10
broadsword,13.21,10
underslung,13.57,10
stripe,4.05,6
virtuoso,12.94,8
kindergarten,4.38,12
exploiter,13.11,9
innumerable,11.82,11
fief,12.67,4
thought,5.89,7
jazz,8.5,4
ophthalmic,16.82,10
obesity,11.37,7
pray,5.79,4
parenting,9.72,9
accessorize,11.39,11
entangle,11,8
mistress,11.72,8
egress,17.46,6
velocipede,14.75,10
bullfighting,9.32,12
alumna,14,6
walrus,5.06,6
sideboard,10.24,9
seek,6.94,4
quarter,5.79,7
sacker,10.82,6
possession,9.95,10
winner,5.55,6
cleverness,7.75,10
aid,7.33,3
strawberry,4.21,10
renal,17.13,5
snakelike,7.33,9
immunization,11.11,12
equitable,13.84,9
heating,7.63,7
bigamy,13.24,6
lipid,14.22,5
water,2.37,5
cyanosis,17.09,8
alehouse,13.76,8
pond,5.16,4
switch,4.78,6
tourism,9.53,7
unvented,13.88,8
friendship,5.62,10
thyme,12.42,5
cobblestone,10.5,11
reality,10.05,7
heaven,4.22,6
loud,4.54,4
nigh,11.44,4
magnetism,10.94,9
jack,6.96,4
bookstore,6.45,9
cranberry,6.45,9
loupe,16.15,5
potty,2.28,5
huddle,9.4,6
retroperitoneal,15.86,15
tatters,10.47,7
vain,10.74,4
housemaid,9,9
pluralist,15.94,9
breezeway,11.24,9
sequencing,12.84,10
volunteerism,10.83,12
fascia,15.78,6
exhibitor,14.21,9
joiner,11.35,6
caped,8.24,5
witty,10.32,5
fogbound,12.91,8
naturalistic,13.67,12
international,8.67,13
unlisted,11.21,8
fragmentary,14.21,11
uneducated,9.95,10
rotary,10.32,6
entrant,12.41,7
edifice,14.07,7
inhale,7.26,6
ingrown,10.24,7
cheesecloth,13.2,11
idiom,14.06,5
fare,8.21,4
intelligentsia,15.77,14
invariance,15.94,10
corkscrew,7.78,9
shark,5.47,5
macular,16.06,7
wisdom,9.61,6
graviton,15.36,8
propensity,15.56,10
fluctuate,12.22,9
uproot,10.05,6
charnel,13.33,7
sorcery,10.39,7
smear,8.84,5
alternating,12,11
nor,8.61,3
loathe,11.12,6
peepshow,13.21,8
stalk,8.22,5
tentative,12,9
profiler,12.24,8
galvanize,13.56,9
indefinable,11.88,11
thanks,3.53,6
arts,5.97,4
commercial,6.17,10
liquid,5.83,6
juice,4.4,5
tapper,7.82,6
fennel,13.68,6
cardsharp,12.58,9
identity,9.45,8
movable,7.63,7
ecstasy,13.47,7
lavender,9.11,8
variant,11.68,7
trancelike,13.05,10
weakness,8.44,8
stockyard,11.14,9
goaltending,10.37,11
subordinate,14.72,11
kilowatt,11.33,8
inhabitable,11,11
deniability,12.55,11
robbery,7.43,7
drabble,12.09,7
swami,11.14,5
factory,6.89,7
marzipan,14.47,8
huarache,17.2,8
potted,8.37,6
residence,9.11,9
middy,10.25,5
salespeople,8.11,11
nucleus,11.4,7
ciliate,13.75,7
incorruptible,12.9,13
flag,5.33,4
pervasive,14.82,9
submerge,8.68,8
overexposed,11.78,11
presentation,9.5,12
bushmaster,12,10
spread,5.72,6
razz,11.42,4
uvula,11.73,5
overblown,9.39,9
democratic,10.22,10
reductionist,14.07,12
badger,8.74,6
oven,5.67,4
flotilla,14.14,8
shortsightedness,13,16
farmer,4.74,6
doorframe,8.39,9
decompose,10.48,9
accidental,6.75,10
sportsmanlike,9.56,13
factor,9.72,6
postal,8.17,6
wordage,12.79,7
revoke,12.1,6
rue,11.98,3
amino,13.78,5
terahertz,16,9
hardwood,9.84,8
use,4.5,3
flycatcher,7.95,10
hardscrabble,13.06,12
solvable,10.06,8
uptick,15.14,6
amalgamation,16.92,12
menthol,11.11,7
shameful,7.89,8
whoremaster,16.38,11
reboot,13.56,6
mayonnaise,6.1,10
flattering,10.14,10
yachting,11.53,8
coroner,11.39,7
axial,11.62,5
lampoon,12.89,7
matriculate,15.82,11
cabana,13.12,6
unattended,9.8,10
erosion,10.32,7
majestic,10.72,8
teakwood,13,8
gait,11.75,4
rogue,11.48,5
blocker,9.11,7
maquillage,16,10
impersonation,10.95,13
academic,9.74,8
megalith,15.36,8
outgoing,8.11,8
laypeople,12.67,9
cyberspace,14.42,10
crunch,5.63,6
repair,7.81,6
workup,12.1,6
radiologic,11.41,10
tot,7,3
physic,11.61,6
daddy,2.56,5
whirl,7.37,5
shameless,9.79,9
corporate,10.84,9
unforeseeable,11.63,13
relaxing,8,8
flavorless,9.32,10
atypical,12.94,8
hut,8.1,3
ageist,15.79,6
splotchy,10.38,8
submitter,10.6,9
commerce,13.44,8
nonattendance,12.16,13
cupboard,6.39,8
chicane,13.57,7
apostle,9.5,7
pane,9.78,4
expulsion,11.17,9
emotion,6.37,7
swordsmanship,11.17,13
import,10.37,6
warfare,8.95,7
reword,10.72,6
herculean,13.06,9
frappe,15.12,6
ureter,15.11,6
immobility,12.24,10
kickback,13.33,8
centrist,16.38,8
resolute,11.67,8
lift,4.74,4
backyard,3.38,8
kinkiness,14.17,9
stimulator,11.8,10
village,7.84,7
mirror,4.89,6
skullduggery,13.56,12
joyous,7.35,6
orate,13.56,5
penology,15.88,8
wifely,11.41,6
primitive,9.28,9
vitalism,11.47,8
therapy,12,7
rendezvous,11.79,10
trimester,12.12,9
procurer,15.93,8
unheard,8.47,7
vulcanized,14.27,10
flocculation,11.33,12
serpent,8,7
fallout,10.67,7
dot,4.33,3
tampon,12.11,6
weekly,7.45,6
payback,6.72,7
playback,8.5,8
typesetter,12.36,10
trot,7.3,4
creed,9.17,5
share,4.84,5
rift,12,4
howl,5.55,4
sultry,12.16,6
sash,7.67,4
amplitude,12.44,9
assassination,9.05,13
kindle,12.36,6
cue,10.89,3
coverall,9.32,8
unknowing,8.5,9
patisserie,14.1,10
depositor,13.65,9
bedroll,8.67,7
milkmaid,8.94,8
psychotic,10.94,9
reflex,8.17,6
humorless,11.15,9
spiritualistic,12.94,14
actor,7.17,5
pizza,4.67,5
contradiction,10.63,13
storekeeper,7.6,11
riches,8.33,6
scintillate,16.08,11
repulsion,12.11,9
pedagogue,17.3,9
hideous,9.53,7
preflight,13.16,9
fad,10.25,3
tipsy,12.67,5
weather,5.94,7
clockmaker,8.74,10
monopolistic,13.85,12
polarization,15.56,12
pewter,13.25,6
meadow,6.89,6
depth,9.72,5
taxi,7.58,4
knickers,9.94,8
torus,14.27,5
rick,7.8,4
protean,11.83,7
wispy,10.12,5
poignant,13,8
sucker,6.11,6
fondness,10.5,8
spiritualize,11.44,12
hake,16.2,4
temptress,12.2,9
unequivocal,14.88,11
trifle,12.17,6
covetousness,15.13,12
pounce,9.06,6
biophysical,14.06,11
resplendent,14.64,11
burglar,7,7
modulo,17.17,6
homing,11.75,6
muffler,9.5,7
affectation,13.82,11
wheel,4.4,5
deft,11.13,4
folkloric,12.25,9
tinny,10.29,5
stabilization,11.5,13
gallon,6.25,6
leitmotif,15.9,9
sibilant,14.45,8
sufficient,11,10
infallibility,13,13
city,6.56,4
typo,10.68,4
smelter,14.38,7
applaud,7.1,7
postnasal,14.79,9
unprecedented,13.16,13
backtrack,11.75,9
fleshy,12.83,6
treason,11.37,7
assemble,8.72,8
sect,13.39,4
pastrami,8.42,8
tutelary,14,8
interviewer,10.11,11
elicit,14.26,6
chorus,7.5,6
alpine,11.28,6
congruent,13.89,9
underplay,14,9
connivance,14,10
emblematic,12.71,10
anthropologist,12.56,14
realization,11.33,11
jinx,7.89,4
cardiogram,14.89,10
piddle,8.33,6
quadriplegic,13.5,12
semiarid,14.93,8
penetrator,14.33,10
mush,5.78,4
unattributed,13.07,12
approximate,10.7,11
tenth,5.41,5
tumult,12.39,6
fiery,10.28,5
gaslight,9.8,8
groundless,11.72,10
jamb,12.92,4
persimmon,15.29,9
appearance,8.83,10
terrible,5.56,8
universal,10.21,9
tightlipped,12.47,11
unchained,8.37,9
procrastinate,10.94,13
guppy,8.06,5
scythe,11.87,6
aim,6.72,3
sugarcane,7.63,9
pickled,9.3,7
stonemasonry,14.16,12
spectacle,9.37,9
psychosexual,19.19,12
recital,6.95,7
wean,9.72,4
slipper,5.26,7
inconceivable,11.05,13
huntsman,10.76,8
arctic,7.79,6
compass,8.44,7
glacier,8.05,7
conclusion,9.44,10
measure,7.53,7
famish,9.39,6
strait,11.11,6
radiator,8.53,8
opponent,8.63,8
shabby,10.56,6
mulatto,13.13,7
senseless,9.95,9
format,11.47,6
moonbeam,8.24,8
chitlins,12.21,8
paring,9.95,6
territoriality,14.06,14
glycerol,14.71,8
curtail,12.88,7
promising,7.84,9
honorific,14.29,9
prosperity,10.4,10
next,4.35,4
numismatist,14.71,11
actinic,15.62,7
riven,14.25,5
scales,6.48,6
accusatory,11.18,10
antinuclear,13.19,11
colitis,17,7
failure,8,7
videophone,13.06,10
credenza,14.8,8
shun,11.33,4
conchie,14,7
uncrated,9.89,8
microcellular,13.28,13
homologous,14.14,10
lambskin,10.78,8
graphology,13.27,10
maxillary,15.55,9
cellist,11.55,7
matriculation,16.07,13
soot,7.2,4
lumpectomy,15.69,10
reveal,9.47,6
forehead,5.58,8
common,6.94,6
ossuary,18.25,7
singe,11.57,5
fulminate,15.82,9
relaxer,11,7
sublevel,13.94,8
turbo,12.16,5
mask,4.8,4
prop,10.83,4
photoplay,13.58,9
headman,10.59,7
finagle,12.21,7
griddlecakes,8.8,12
inconsolable,10.65,12
timing,8.84,6
languish,13.8,8
sentry,11.12,6
leavings,9.75,8
thirsty,3.89,7
technocracy,17.44,11
gorgeousness,9.5,12
magician,5.37,8
ginger,8.05,6
idiopathic,17.85,10
ember,10.5,5
safe,5.11,4
cabman,8.83,6
diffident,13.19,9
tenderizer,11.32,10
pang,10.5,4
trafficker,13.5,10
cauliflower,6.18,11
divest,14,6
tarragon,13.82,8
rosin,13.44,5
banister,10,8
paprika,9.63,7
corsage,11.47,7
detector,9.42,8
gallery,8.68,7
ingratiating,12.93,12
boarding,9,8
bannock,17.43,7
poi,12.56,3
nasopharynx,16.22,11
bloat,11.56,5
couture,14.56,7
civic,11.8,5
tackiness,9.68,9
cymbals,8.13,7
lamina,16.38,6
strychnine,15.25,10
moisturize,9.1,10
gig,10.56,3
arraignment,16.44,11
housewarming,11.79,12
pipkin,16.6,6
unification,14.33,11
caveman,6.28,7
instinctual,12.21,11
loiter,11.94,6
thoroughly,10.15,10
martial,11.11,7
crossbeam,12.26,9
party,4.58,5
dalliance,14.5,9
mailing,6,7
model,5.83,5
sawdust,7.16,7
malcontented,13.75,12
postpone,10.42,8
lens,9.53,4
bathroom,3,8
their,5.26,5
condensation,12.11,12
mermaid,5.68,7
malevolent,12.73,10
transmitter,11.89,11
courage,8.42,7
moped,9.39,5
lymphatic,13.5,9
sneeze,4.17,6
angleworm,10.23,9
pederast,17.25,8
wrapper,6.11,7
alien,7.5,5
trickster,9,9
digest,9,6
baccarat,13.75,8
oh,4.72,2
velvety,8,7
spate,13.19,5
certify,11.1,7
southbound,9.72,10
inheritability,13.55,14
jabber,9.67,6
lease,11.11,5
never,5.07,5
catacomb,11.75,8
weakling,9.58,8
condemn,12.5,7
roundhouse,10.24,10
fedora,12.69,6
denatured,13.88,9
flageolet,14.88,9
panhandle,11.82,9
waterline,10.4,9
deceitful,12.94,9
thoughtlessness,9.95,15
gauche,15.5,6
nutritive,12.31,9
insufferable,11.89,12
unpreparedness,11.16,14
irrevocability,13.67,14
automobile,7.11,10
gallant,10.28,7
prescient,12.9,9
darer,9.14,5
bloodstain,7,10
shamanistic,13.86,11
streamliner,13.88,11
precipice,11.94,9
cosmologist,12.41,11
highness,7.35,8
repurchase,10.5,10
nubby,12.25,5
tigress,9.05,7
outflow,11.76,7
disband,11.05,7
hatless,8.29,7
grievous,11.26,8
expeditionary,14.17,13
sacristan,14.2,9
candlelit,9.05,9
reunite,9.44,7
bountiful,10.47,9
urination,9.61,9
operational,10.79,11
bipartisan,16.2,10
frosted,7.72,7
neuralgia,16.5,9
terbium,15.67,7
orchard,7.67,7
lay,5.84,3
evildoing,10.17,9
compulsory,12.16,10
participatory,12.78,13
pounder,10.76,7
beggary,11.67,7
weariness,11.78,9
coax,11.47,4
revamp,13.06,6
lifeless,9.22,8
jus,17.33,3
prattle,12.25,7
refinance,15.95,9
preternatural,13.9,13
slug,6,4
poisonous,4.89,9
adversarial,14,11
dodger,9.89,6
unhinge,11.35,7
flashy,7.74,6
serfdom,13.08,7
honeysuckle,8.26,11
stakeout,11.17,8
guitarist,9.26,9
grazer,11.16,6
communicator,9.68,12
rho,15.45,3
runnel,13.29,6
subjection,12.56,10
directorate,16.08,11
myrtle,11.01,6
pinkeye,8.71,7
consultant,12.26,10
abalone,12.23,7
anisette,16.6,8
commentate,11.94,10
crook,7.84,5
admissible,13.1,10
grave,7.06,5
banns,12.15,5
unfreeze,7.24,8
rammer,11,6
pharmacotherapy,16.07,15
confessant,12.5,10
unthreatening,9.83,13
gatekeeper,9.94,10
position,8.72,8
depopulation,12.33,12
mispronounce,9.47,12
philosophical,12.26,13
eradicate,14.75,9
outstare,9.75,8
abrasive,12.22,8
settler,9.72,7
knighthood,9.68,10
cynic,13.07,5
flinch,7.89,6
gatherer,9.21,8
countless,9.16,9
hurtle,10.84,6
hostage,9.89,7
civilizing,11.05,10
since,6.85,5
jerkwater,12.44,9
mercurial,13,9
bentwood,12,8
inertia,12.84,7
vasty,15,5
earphone,9.45,8
morbid,9.72,6
guilty,8.05,6
leggy,11.28,5
antipathy,13.25,9
palmistry,14.64,9
gratify,12.78,7
spumoni,14.33,7
rocketry,13.93,8
teethe,7.81,6
context,10,7
gulden,15,6
deciliter,12.6,9
filthy,7.17,6
monotone,11.11,8
hyphenated,9.94,10
alienate,13.05,8
casework,13.25,8
precious,7.57,8
lingo,10.89,5
affection,8.53,9
centripetal,14.47,11
jute,13.17,4
ganger,15.71,6
learner,6.26,7
rifle,7.85,5
twine,9.38,5
