Subject,Word,Affix,LogRT,Sex,PrevError
2s11,brikker,er,6.471836118,M,CORRECT
2s19,brikker,er,6.789939743,F,CORRECT
2s04,brikker,er,6.905763296,M,CORRECT
2s15,brikker,er,6.803294359,M,CORRECT
2s10,brikker,er,6.869700286,M,CORRECT
2s17,brikker,er,6.630485477,M,CORRECT
2s13,brikker,er,6.839904612,F,CORRECT
2s09,brikker,er,6.66477885,F,CORRECT
2s08,brikker,er,6.703617469,F,CORRECT
2s02,bryggeri,eri,6.60992859,F,CORRECT
2s22,bryggeri,eri,6.945079965,F,CORRECT
2s11,bryggeri,eri,6.791996443,M,CORRECT
2s01,bryggeri,eri,6.673209468,M,CORRECT
2s07,bryggeri,eri,6.538761917,F,CORRECT
2s12,bryggeri,eri,6.820114613,F,CORRECT
2s08,bryggeri,eri,6.864920844,F,CORRECT
2s09,bryggeri,eri,6.726557091,F,CORRECT
2s10,bryggeri,eri,6.655363127,M,CORRECT
2s17,bryggeri,eri,6.863082128,M,CORRECT
2s15,bryggeri,eri,6.667796135,M,CORRECT
2s06,bryggeri,eri,6.707791001,F,CORRECT
2s19,bryggeri,eri,6.773137582,F,CORRECT
2s16,bryggeri,eri,6.793376442,M,CORRECT
2s14,bryggeri,eri,7.041420413,M,CORRECT
2s03,bryggeri,eri,6.733020867,M,CORRECT
2s13,bryggeri,eri,6.556451598,F,CORRECT
2s05,bryggeri,eri,6.4958847,F,CORRECT
2s21,bryggeri,eri,6.879304363,F,CORRECT
2s09,buketten,en,6.63757253,F,CORRECT
2s10,buketten,en,6.528469483,M,CORRECT
2s14,buketten,en,6.958334318,M,CORRECT
2s13,buketten,en,6.749978031,F,CORRECT
2s11,buketten,en,6.813971933,M,ERROR
2s16,buketten,en,6.428622102,M,CORRECT
2s17,buketten,en,7.05374129,M,CORRECT
2s12,buketten,en,6.783834697,F,CORRECT
2s06,buketten,en,6.497423347,F,CORRECT
2s04,buketten,en,6.996333761,M,CORRECT
2s15,buketten,en,6.64047696,M,CORRECT
2s08,buketten,en,7.051258042,F,CORRECT
2s07,buketten,en,6.584515111,F,CORRECT
2s05,buketten,en,6.715031809,F,CORRECT
2s22,buketten,en,6.922722706,F,CORRECT
2s02,buketten,en,6.800337092,F,CORRECT
2s19,buketten,en,6.685786038,F,CORRECT
2s03,buketten,en,6.636733647,M,CORRECT
2s21,buketten,en,6.893007057,F,CORRECT
2s06,byttede,ede,6.442747151,F,CORRECT
2s03,byttede,ede,6.977113417,M,CORRECT
2s04,byttede,ede,6.597895762,M,CORRECT
2s07,byttede,ede,6.75438263,F,CORRECT
2s14,byttede,ede,6.440850842,M,CORRECT
2s10,byttede,ede,6.453372999,M,CORRECT
2s12,byttede,ede,6.651688146,F,CORRECT
2s13,byttede,ede,6.550623088,F,CORRECT
2s22,byttede,ede,6.892113583,F,CORRECT
2s19,byttede,ede,6.609995934,F,ERROR
2s16,byttede,ede,6.510288102,M,CORRECT
2s21,byttede,ede,6.633647327,F,CORRECT
2s17,byttede,ede,6.436550929,M,CORRECT
2s02,byttede,ede,6.50814301,F,CORRECT
2s15,byttede,ede,6.630841684,M,CORRECT
2s11,byttede,ede,6.650692934,M,CORRECT
2s09,byttede,ede,6.579042857,F,CORRECT
2s08,byttede,ede,6.702549873,F,CORRECT
2s20,byttede,ede,6.478125544,F,CORRECT
2s02,bF8jning,ning,6.660459906,F,CORRECT
2s18,bF8jning,ning,6.698773475,F,CORRECT
2s07,bF8jning,ning,6.809381411,F,CORRECT
2s11,bF8jning,ning,6.677650051,M,CORRECT
2s10,bF8jning,ning,6.66972649,M,CORRECT
2s08,bF8jning,ning,6.815014795,F,CORRECT
2s17,bF8jning,ning,6.623108595,M,CORRECT
2s14,bF8jning,ning,6.536488678,M,CORRECT
2s05,bF8jning,ning,6.570854951,F,CORRECT
2s01,bF8jning,ning,6.620579745,M,CORRECT
2s22,bF8jning,ning,6.886725699,F,CORRECT
2s16,bF8jning,ning,6.478125544,M,ERROR
2s04,bF8jning,ning,6.836366683,M,CORRECT
2s13,bF8jning,ning,6.478571084,F,CORRECT
2s20,bF8jning,ning,6.56667243,F,CORRECT
2s19,bF8jning,ning,6.685786038,F,ERROR
2s03,bF8jning,ning,6.558750841,M,CORRECT
2s09,bF8jning,ning,6.581318518,F,CORRECT
2s15,bF8jning,ning,6.646013821,M,CORRECT
2s12,bF8jning,ning,6.604133509,F,CORRECT
2s21,bF8jning,ning,6.632120347,F,CORRECT
2s20,dannes,s,6.521960436,F,CORRECT
2s03,dannes,s,6.708608977,M,CORRECT
2s01,dannes,s,6.455874436,M,CORRECT
2s18,dannes,s,6.639169702,F,CORRECT
2s19,dannes,s,6.576525278,F,CORRECT
2s02,dannes,s,7.035831821,F,CORRECT
2s21,dannes,s,6.673576058,F,CORRECT
2s22,dannes,s,6.629759476,F,CORRECT
2s07,dannes,s,6.527680101,F,CORRECT
2s06,dannes,s,6.435268569,F,CORRECT
2s04,dannes,s,6.647947743,M,CORRECT
2s15,dannes,s,6.753659598,M,CORRECT
2s14,dannes,s,6.760124962,M,CORRECT
2s17,dannes,s,6.685823493,M,CORRECT
2s09,dannes,s,6.551051763,F,CORRECT
2s12,dannes,s,6.523342018,F,CORRECT
2s08,dannes,s,6.66533971,F,CORRECT
2s11,dannes,s,6.548161795,M,CORRECT
2s02,danset,et,6.627472431,F,CORRECT
2s15,danset,et,6.55232242,M,CORRECT
2s01,danset,et,6.67415727,M,CORRECT
2s11,danset,et,6.444751096,M,CORRECT
2s09,danset,et,6.629085804,F,CORRECT
2s21,danset,et,6.607366146,F,CORRECT
2s17,danset,et,6.667058568,M,CORRECT
2s19,danset,et,6.726125483,F,CORRECT
2s22,danset,et,6.943315454,F,CORRECT
2s18,danset,et,6.730433204,F,ERROR
2s03,danset,et,6.928557407,M,CORRECT
2s14,danset,et,6.67691972,M,CORRECT
2s10,danset,et,6.810087322,M,CORRECT
2s08,danset,et,6.815596129,F,CORRECT
2s13,danset,et,6.503479463,F,CORRECT
2s12,danset,et,6.529681577,F,CORRECT
2s06,danset,et,6.915018835,F,ERROR
2s07,danset,et,6.5374739,F,CORRECT
2s04,danset,et,6.667376552,M,ERROR
2s07,distinktiv,iv,6.50711352,F,CORRECT
2s18,distinktiv,iv,6.972334424,F,CORRECT
2s15,distinktiv,iv,6.698440666,M,CORRECT
2s16,distinktiv,iv,6.802694718,M,CORRECT
2s17,distinktiv,iv,6.660498322,M,CORRECT
2s20,distinktiv,iv,6.957173817,F,CORRECT
2s02,distinktiv,iv,6.784513622,F,CORRECT
2s08,distinktiv,iv,6.83989391,F,CORRECT
2s19,distinktiv,iv,6.945965867,F,CORRECT
2s06,distinktiv,iv,6.837987107,F,ERROR
2s12,distinktiv,iv,6.726581064,F,CORRECT
2s11,distinktiv,iv,6.82720661,M,CORRECT
2s14,distinktiv,iv,6.875252748,M,CORRECT
2s14,drilleri,eri,6.55063738,M,CORRECT
2s07,drilleri,eri,6.650084981,F,CORRECT
2s12,drilleri,eri,6.581914329,F,CORRECT
2s08,drilleri,eri,6.871920826,F,CORRECT
2s01,drilleri,eri,6.631013147,M,CORRECT
2s09,drilleri,eri,6.541996343,F,CORRECT
2s10,drilleri,eri,6.795549163,M,CORRECT
2s17,drilleri,eri,6.647454883,M,CORRECT
2s11,drilleri,eri,6.892154213,M,CORRECT
2s15,drilleri,eri,6.601053473,M,ERROR
2s19,drilleri,eri,6.929839615,F,CORRECT
2s02,drilleri,eri,6.664090092,F,CORRECT
2s03,drilleri,eri,6.557488331,M,CORRECT
2s13,drilleri,eri,6.633542092,F,CORRECT
2s18,drilleri,eri,6.554773507,F,CORRECT
2s04,drilleri,eri,6.9723063,M,CORRECT
2s05,drilleri,eri,6.51137379,F,CORRECT
2s20,drilleri,eri,7.027190283,F,CORRECT
2s21,drilleri,eri,6.696577353,F,CORRECT
2s06,drilleri,eri,6.936430196,F,ERROR
2s22,duftede,ede,6.663349786,F,CORRECT
2s07,duftede,ede,6.754650718,F,CORRECT
2s03,duftede,ede,6.654010758,M,CORRECT
2s13,duftede,ede,6.571638979,F,CORRECT
2s10,duftede,ede,6.607055509,M,CORRECT
2s02,duftede,ede,6.605135526,F,CORRECT
2s05,duftede,ede,6.567515956,F,CORRECT
2s14,duftede,ede,6.638947298,M,CORRECT
2s08,duftede,ede,6.742998553,F,CORRECT
2s16,duftede,ede,6.449110889,M,CORRECT
2s21,duftede,ede,6.737476911,F,CORRECT
2s04,duftede,ede,6.602723568,M,CORRECT
2s19,duftede,ede,6.89074136,F,CORRECT
2s06,duftede,ede,6.643203624,F,CORRECT
2s09,duftede,ede,6.57575901,F,CORRECT
2s20,duftede,ede,6.45927828,F,CORRECT
2s11,duftede,ede,6.801383141,M,CORRECT
2s18,duftede,ede,6.650615344,F,CORRECT
2s07,dummest,est,6.553420452,F,CORRECT
2s12,dummest,est,6.763191828,F,CORRECT
2s06,dummest,est,6.610049806,F,CORRECT
2s04,dummest,est,6.801460994,M,CORRECT
2s10,dummest,est,6.88852149,M,ERROR
2s15,dummest,est,6.561893094,M,CORRECT
2s09,dummest,est,6.765822983,F,CORRECT
2s13,dummest,est,6.696330296,F,CORRECT
2s02,dummest,est,6.534413643,F,CORRECT
2s19,dummest,est,6.644557667,F,CORRECT
2s17,dummest,est,6.944328259,M,CORRECT
2s05,dummest,est,6.620286517,F,CORRECT
2s22,dummest,est,6.941306102,F,CORRECT
2s11,dummest,est,6.821892333,M,ERROR
2s21,dummest,est,6.780171876,F,CORRECT
2s20,dummest,est,6.910900328,F,CORRECT
2s16,dummest,est,6.484284029,M,CORRECT
2s01,dummest,est,6.790085987,M,CORRECT
2s18,dummest,est,6.58969647,F,CORRECT
2s06,dybest,est,6.670081676,F,CORRECT
2s07,dybest,est,7.074734745,F,CORRECT
2s08,dybest,est,6.6608568,F,CORRECT
2s04,dybest,est,6.713393529,M,CORRECT
2s02,dybest,est,6.643268764,F,CORRECT
2s13,dybest,est,6.486937926,F,CORRECT
2s15,dybest,est,6.528177192,M,CORRECT
2s09,dybest,est,6.726281363,F,CORRECT
2s12,dybest,est,6.785350329,F,CORRECT
2s22,dybest,est,6.755338096,F,CORRECT
2s10,dybest,est,6.695155942,M,CORRECT
2s16,dybest,est,6.534282902,M,CORRECT
2s20,dybest,est,6.73409213,F,CORRECT
2s11,dybest,est,6.694376398,M,CORRECT
2s03,dybest,est,6.672905982,M,CORRECT
2s21,dybest,est,6.793331594,F,CORRECT
2s18,dybest,est,6.559572744,F,CORRECT
2s17,dybest,est,6.547602867,M,CORRECT
2s03,dyrisk,isk,6.53086305,M,CORRECT
2s04,dyrisk,isk,6.684361696,M,CORRECT
2s16,dyrisk,isk,6.60936272,M,CORRECT
2s01,dyrisk,isk,6.842427113,M,CORRECT
2s08,dyrisk,isk,6.768217312,F,CORRECT
2s13,dyrisk,isk,6.507561254,F,CORRECT
2s10,dyrisk,isk,6.503479463,M,CORRECT
2s14,dyrisk,isk,6.557360573,M,CORRECT
2s06,dyrisk,isk,6.455607285,F,CORRECT
2s18,dyrisk,isk,6.736527953,F,CORRECT
2s19,dyrisk,isk,6.622137741,F,CORRECT
2s22,dyrisk,isk,6.621285804,F,CORRECT
2s02,dyrisk,isk,6.524178856,F,CORRECT
2s20,dyrisk,isk,6.620593071,F,CORRECT
2s11,dyrisk,isk,6.838062162,M,CORRECT
2s09,dyrisk,isk,6.551765814,F,CORRECT
2s12,dyrisk,isk,6.469033239,F,CORRECT
2s07,dyrisk,isk,6.705565653,F,CORRECT
2s21,dyrisk,isk,6.626956131,F,CORRECT
2s17,dyrisk,isk,6.858596547,M,CORRECT
2s01,dyrkede,ede,6.551051763,M,CORRECT
2s17,dyrkede,ede,6.734341926,M,CORRECT
2s03,dyrkede,ede,6.642512877,M,CORRECT
2s12,dyrkede,ede,6.625644326,F,CORRECT
2s21,dyrkede,ede,6.7800469,F,CORRECT
2s04,dyrkede,ede,6.794373792,M,CORRECT
2s22,dyrkede,ede,6.700226677,F,CORRECT
2s07,dyrkede,ede,7.057105885,F,CORRECT
2s10,dyrkede,ede,6.67179241,M,CORRECT
2s20,dyrkede,ede,7.026355758,F,CORRECT
2s15,dyrkede,ede,6.542270211,M,CORRECT
2s14,dyrkede,ede,6.712980502,M,CORRECT
2s02,dyrkede,ede,6.623932417,F,CORRECT
2s08,dyrkede,ede,6.844591812,F,CORRECT
2s06,dyrkede,ede,6.826556069,F,CORRECT
2s09,dyrkede,ede,6.55639476,F,CORRECT
2s18,dyrkede,ede,6.643203624,F,CORRECT
2s11,dyrkede,ede,6.60992859,M,CORRECT
2s13,dyrkede,ede,6.54375356,F,CORRECT
2s01,dystede,ede,6.950278226,M,CORRECT
2s21,dystede,ede,6.91499898,F,CORRECT
2s10,dystede,ede,6.462530112,M,CORRECT
2s02,dystede,ede,6.625445417,F,CORRECT
2s17,dystede,ede,6.870572488,M,CORRECT
2s08,dystede,ede,7.036465066,F,ERROR
2s15,dystede,ede,6.961068532,M,CORRECT
2s14,dystede,ede,6.862590535,M,CORRECT
2s11,dystede,ede,6.69435164,M,CORRECT
2s19,dystede,ede,7.048673075,F,CORRECT
2s06,dystede,ede,6.489068144,F,CORRECT
2s13,dystede,ede,6.625829938,F,CORRECT
2s18,dystede,ede,6.895632089,F,CORRECT
2s12,dystede,ede,6.4521909,F,CORRECT
2s22,dE6monisk,isk,6.766456657,F,CORRECT
2s04,dE6monisk,isk,6.865619922,M,CORRECT
2s13,dE6monisk,isk,6.562048535,F,CORRECT
2s14,dE6monisk,isk,6.737725863,M,CORRECT
2s03,dE6monisk,isk,6.863176236,M,CORRECT
2s15,dE6monisk,isk,6.555499129,M,CORRECT
2s10,dE6monisk,isk,6.528177192,M,CORRECT
2s11,dE6monisk,isk,6.680327564,M,CORRECT
2s05,dE6monisk,isk,6.551937111,F,CORRECT
2s09,dE6monisk,isk,6.73853157,F,CORRECT
2s02,dE6monisk,isk,6.532421625,F,CORRECT
2s07,dE6monisk,isk,6.704585909,F,CORRECT
2s21,dE6monisk,isk,6.656880754,F,CORRECT
2s18,dE6monisk,isk,6.476803118,F,CORRECT
2s08,dE6monisk,isk,6.978698248,F,CORRECT
2s20,dE6monisk,isk,6.618418505,F,CORRECT
2s19,dE6monisk,isk,6.680377777,F,CORRECT
2s12,dE6monisk,isk,6.837450833,F,CORRECT
2s01,dE6monisk,isk,6.692034113,M,CORRECT
2s17,dE6monisk,isk,6.699795863,M,CORRECT
2s06,dE6monisk,isk,6.512413754,F,CORRECT
2s15,effektiv,iv,6.688504142,M,CORRECT
2s20,effektiv,iv,6.579084531,F,CORRECT
2s10,effektiv,iv,6.655659117,M,CORRECT
2s18,effektiv,iv,6.684411708,F,CORRECT
2s02,effektiv,iv,6.49152746,F,CORRECT
2s13,effektiv,iv,6.589847649,F,CORRECT
2s17,effektiv,iv,6.84010793,M,CORRECT
2s14,effektiv,iv,6.507904382,M,CORRECT
2s08,effektiv,iv,6.789579666,F,CORRECT
2s09,effektiv,iv,6.529316643,F,CORRECT
2s01,effektiv,iv,6.626068532,M,ERROR
2s03,effektiv,iv,6.628914011,M,ERROR
2s16,effektiv,iv,6.537647662,M,CORRECT
2s12,effektiv,iv,6.461749387,F,CORRECT
2s07,effektiv,iv,6.808641876,F,CORRECT
2s22,effektiv,iv,6.719025232,F,CORRECT
2s21,effektiv,iv,6.7939929,F,CORRECT
2s19,effektiv,iv,6.630604227,F,CORRECT
2s11,effektiv,iv,6.893849034,M,CORRECT
2s04,effektiv,iv,6.532246952,M,CORRECT
2s06,effektiv,iv,6.571555005,F,CORRECT
2s11,fjernet,et,6.653520877,M,CORRECT
2s14,fjernet,et,6.758222255,M,CORRECT
2s13,fjernet,et,6.984392194,F,CORRECT
2s21,fjernet,et,6.721220861,F,CORRECT
2s17,fjernet,et,6.992041279,M,ERROR
2s12,fjernet,et,6.672349351,F,CORRECT
2s01,fjernet,et,6.716267844,M,CORRECT
2s09,fjernet,et,6.621725175,F,CORRECT
2s20,fjernet,et,6.634528227,F,CORRECT
2s10,fjernet,et,6.762278538,M,ERROR
2s19,fjernet,et,6.58636474,F,CORRECT
2s16,fjernet,et,6.7415472,M,CORRECT
2s04,fjernet,et,6.847506212,M,CORRECT
2s15,fjernet,et,6.78692009,M,CORRECT
2s08,fjernet,et,7.071946809,F,CORRECT
2s07,fjernet,et,6.602845661,F,CORRECT
2s22,fjernet,et,6.885121046,F,CORRECT
2s03,fjernet,et,6.87274967,M,CORRECT
2s02,fjernet,et,6.938061375,F,CORRECT
2s06,fjernet,et,6.60687989,F,ERROR
2s18,fjernet,et,6.786005637,F,CORRECT
2s05,fjernet,et,6.653172659,F,CORRECT
2s01,flytbar,bar,6.791412456,M,CORRECT
2s09,flytbar,bar,6.751347053,F,CORRECT
2s19,flytbar,bar,6.789005526,F,CORRECT
2s22,flytbar,bar,7.016726269,F,CORRECT
2s13,flytbar,bar,6.663796588,F,CORRECT
2s05,flytbar,bar,6.807238569,F,CORRECT
2s15,flytbar,bar,6.706446602,M,CORRECT
2s21,flytbar,bar,6.94631231,F,CORRECT
2s07,flytbar,bar,6.664740598,F,CORRECT
2s02,flytbar,bar,6.918151055,F,CORRECT
2s20,flytbar,bar,6.628715752,F,CORRECT
2s17,flytbar,bar,6.908924595,M,CORRECT
2s06,flytbar,bar,6.651261748,F,CORRECT
2s11,flytbar,bar,6.672083577,M,CORRECT
2s16,flytbar,bar,6.655491829,M,CORRECT
2s10,flytbar,bar,6.664715096,M,CORRECT
2s14,flytbar,bar,6.639980404,M,CORRECT
2s03,flytbar,bar,6.646546347,M,CORRECT
2s18,flytbar,bar,6.631843662,F,CORRECT
2s08,flytbar,bar,7.061102779,F,CORRECT
2s19,flF8jtende,ende,6.795358959,F,CORRECT
2s16,flF8jtende,ende,6.686522401,M,CORRECT
2s17,flF8jtende,ende,7.018867223,M,CORRECT
2s11,flF8jtende,ende,6.900227013,M,CORRECT
2s10,flF8jtende,ende,6.775137754,M,CORRECT
2s18,flF8jtende,ende,6.961078013,F,CORRECT
2s15,flF8jtende,ende,6.789388323,M,CORRECT
2s13,flF8jtende,ende,6.828939319,F,CORRECT
2s09,flF8jtende,ende,6.827835064,F,CORRECT
2s20,flF8jtende,ende,6.78971471,F,CORRECT
2s05,flF8jtende,ende,6.763538428,F,CORRECT
2s01,flF8jtende,ende,6.971996881,M,CORRECT
2s04,flF8jtende,ende,6.870780043,M,CORRECT
2s06,flF8jtende,ende,6.807680768,F,CORRECT
2s02,flF8jtende,ende,6.786908806,F,CORRECT
2s14,flF8jtende,ende,6.803538553,M,CORRECT
2s12,flF8jtende,ende,6.968125751,F,CORRECT
2s22,flF8jtende,ende,6.925614843,F,CORRECT
2s03,flF8jtende,ende,6.92987874,M,CORRECT
2s07,flF8jtende,ende,6.54740215,F,CORRECT
2s08,flF8jtende,ende,6.899662622,F,CORRECT
2s21,flF8jtende,ende,6.953196986,F,CORRECT
2s11,fristet,et,6.856188263,M,CORRECT
2s13,fristet,et,6.836227053,F,CORRECT
2s12,fristet,et,6.933033086,F,CORRECT
2s09,fristet,et,6.7947657359999996,F,CORRECT
2s10,fristet,et,6.805844362,M,CORRECT
2s08,fristet,et,6.867360277,F,CORRECT
2s19,fristet,et,6.501574915,F,CORRECT
2s17,fristet,et,6.979117342,M,CORRECT
2s14,fristet,et,6.876924869,M,ERROR
2s20,fristet,et,6.676188855,F,CORRECT
2s07,fristet,et,6.76884947,F,CORRECT
2s01,fristet,et,6.578500931,M,CORRECT
2s16,fristet,et,6.608971813,M,CORRECT
2s06,fristet,et,6.612350127,F,ERROR
2s21,fristet,et,6.71927882,F,CORRECT
2s15,fristet,et,6.688167897,M,CORRECT
2s04,fristet,et,6.812741055,M,CORRECT
2s18,fristet,et,6.628345563,F,CORRECT
2s05,fristet,et,6.579556721,F,CORRECT
2s22,frugtbar,bar,6.843622009,F,CORRECT
2s01,frugtbar,bar,6.667796135,M,CORRECT
2s09,frugtbar,bar,6.775776965,F,CORRECT
2s12,frugtbar,bar,6.947994704,F,CORRECT
2s13,frugtbar,bar,6.632726153,F,CORRECT
2s05,frugtbar,bar,6.501800051,F,CORRECT
2s11,frugtbar,bar,6.839904612,M,CORRECT
2s21,frugtbar,bar,6.742326237,F,CORRECT
2s07,frugtbar,bar,6.685261517,F,CORRECT
2s18,frugtbar,bar,6.706788984,F,ERROR
2s17,frugtbar,bar,6.673095672,M,CORRECT
2s06,frugtbar,bar,6.753636265,F,CORRECT
2s03,frugtbar,bar,6.648388518,M,CORRECT
2s10,frugtbar,bar,6.631039523,M,CORRECT
2s19,frugtbar,bar,6.740885723,F,CORRECT
2s20,frugtbar,bar,6.5479898499999996,F,CORRECT
2s14,frugtbar,bar,6.88216051,M,CORRECT
2s15,frugtbar,bar,6.597309399,M,CORRECT
2s16,frugtbar,bar,6.788160603,M,ERROR
2s02,frugtbar,bar,6.670195816,F,CORRECT
2s01,frygtsom,som,6.672222801,M,CORRECT
2s08,frygtsom,som,7.039125588,F,CORRECT
2s10,frygtsom,som,6.700706509,M,CORRECT
2s13,frygtsom,som,6.622483632,F,ERROR
2s04,frygtsom,som,6.777133934,M,CORRECT
2s20,frygtsom,som,6.566686494,F,CORRECT
2s07,frygtsom,som,6.746412129,F,CORRECT
2s03,frygtsom,som,6.67250119,M,ERROR
2s19,frygtsom,som,6.585536971,F,CORRECT
2s15,frygtsom,som,6.512265254,M,CORRECT
2s02,frygtsom,som,6.597650349,F,CORRECT
2s11,frygtsom,som,6.717599112,M,CORRECT
2s05,frygtsom,som,6.600795242,F,CORRECT
