type,noun,Typical.Action.Chain.Pos,province,state,negation,broad.regions,locality,before,token,after,tense,corpus,long,lat,characters_before_noun,noun_length
singular,confusiones,tail.setting,Madrid,Community of Madrid,present,Center,Madrid,"cuando_cs dicen_vmip000 ""_fe pagado_aq0000 por_sp000 el_da0000 ministerio_nc0s000 ""_fe se_p0000000 refieren_vmip000 a_sp000 todos_di0000 nosotros_pp000000 ._fppara_sp000 que_cs no_rn",haya_vasp000,confusiones_nc0p000 ._fphttpst.cojqmeiwln4e_nc0s000,other,Twitter,-3.7037902,40.4167754,15,11
singular,novedades,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,@juanillosald_np00000 los_da0000 clientes_nc0p000 tengan_vmsp000 los_da0000 mejores_aq0000 contenidos_nc0p000 ._fpcuando_cs,haya_vasp000,novedades_nc0p000 lo_da0000 comunicaremos_vmif000 ._fpsaludos.,other,Twitter,-3.7037902,40.4167754,20,9
singular,nubes,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,"anamigallongil_aq0000 como_cs vea_vmsp000 una_di0000 foto_nc0s000 mas_rg de_sp000 playa_nc0s000 ,_fc aunque_cs",haya_vasp000,nubes_nc0p000 block_nc0s000 !!_z0jajajajaja_nc0s000 con_sp000 cuñada_nc0s000 y_cc todo_pi000000 !_fatcav_carmen_nc0n000,other,Twitter,-3.7037902,40.4167754,29,5
singular,regalos,tail.setting,Málaga,Andalusia,absent,South,Málaga,evento_nc0s000 solidario_aq0000 a_sp000 favor_nc0s000 de_sp000 la_da0000 asociación_nc0s000 alhelí_aq0000 ._fpanímate_nc0s000 y_cc juega_vmm0000 .,habrá_vaif000,regalos_nc0p000 y_cc sorpresas_nc0p000 httpst.cof9jie5dhzk_z0,other,Twitter,-4.4212655,36.721261,32,7
singular,intercambios,tail.setting,Ciudad Real,Castile-La Mancha,absent,Center,La Solana,"vinieron_vmis000 los_da0000 que_pr000000 pudieron_vmis000 y_cc los_da0000 que_pr000000 no_rn se_p0000000 lo_pp000000 perdieron_vmis000 ,_fc",hubo_vais000,"intercambios_nc0p000 de_sp000 expresión_nc0s000 ,_fc puntos_nc0p000 de_sp000 vista_nc0s000 ,_fc ideas_nc0p000 ..._fs httpst.corxslsn5guv_nc0s000",synthetic.preterit,Twitter,-3.2392014,38.9416013,63,12
singular,cajeros,head,Cádiz,Andalusia,absent,South,Jerez de la Frontera,a_sp000 mi_dp0000 no_rn me_p0000000 llama_vmip000 la_da0000 atención_nc0s000 lo_pp000000 del_sp000 tractor_nc0s000 ._fpme_p0000000 llama_vmip000 la_da0000 atención_nc0s000 que_pr000000,haya_vasp000,cajeros_nc0p000 en_sp000 una_di0000 comuna_nc0s000 ..._fs httpst.cojun73uante_nc0s000,other,Twitter,-6.1260744,36.6850064,38,7
singular,goles,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,¿_fia os_pp000000 acordáis_aq0000 de_sp000 cuando_cs en_sp000 el_da0000 fútbol_nc0s000,había_vaii000,goles_nc0p000 ?_fit,other,Twitter,-3.7037902,40.4167754,2,5
singular,yogures,tail.setting,Salamanca,Castilla y León,present,Center,Puebla de Yeltes,"yogures, porque entonces no ",había,,other,Coser,-6.1812053,40.6260549,0,7
singular,tractores,head,Álava,País Vasco,present,North,Menagarai,"tenía que comprar, no ",había, tratores como ahora. ,other,Coser,-3.0735861,43.0957124,22,9
singular,portalillos,tail.setting,La Rioja,La Rioja,absent,North,Ausejo,porque allí ,había," unos portalillos que se tomaba el sol, así al sol de mediodía, ",other,Coser,-2.1683571,42.3426617,53,11
singular,desigualdades,tail.setting,Barcelona,Catalonia,absent,East,Barcelona,angelvimu_nc0s000 jam1juan_z0 aquavera7_z0 elsaqueocatalan_vmip000 ppopular_aq0000 igualdad_nc0s000 en_sp000 base_nc0s000 ._fppero_cc después_rg siempre_rg,habrá_vaif000,desigualdades_nc0p000 en_sp000 función_nc0s000 de_sp000 lo_da0000 q_nc0n000,other,Twitter,2.1734035,41.3850639,19,13
singular,niños,head,Huelva,Andalucía,present,South,Zufre,"y no puede aquí, no ",puede haber, niños porque hay muy pocos aquí.,other,Coser,-4.6918715,43.069984,28,5
singular,elecciones,tail.setting,Granada,Andalusia,absent,South,Granada,"farru_marley_nc00000 jatirado_aq0000 por_sp000 fortuna_nc0s000 ,_fc aún_rg hay_vaip000 bastantes_di0000 votantes_nc0p000 q_pp000000 siguen_vmip000 teniendo_vmg0000 dos_dn0000 dedos_nc0p000 de_sp000 frente.y_np00000 más_rg va_vmip000 a_sp000 haber_van0000 como_cs",haya_vasp000,elecciones_nc0p000,other,Twitter,-3.5985571,37.1773363,0,10
singular,obras,tail.setting,Barcelona,Catalonia,present,East,Barcelona,"alffig_nc0s000 es_vsip000 una_di0000 reivindicación_nc0s000 ,_fc nunca_rg",hubo_vais000,obras_nc0p000 y_cc se_p0000000 acumulan_vmip000 averías_nc0p000 en_sp000 infraestructura_nc0s000 josepboira_vmsi000 josep_huguet_nc00000 adif_es_vmip000 elordenmundial_aq0000,synthetic.preterit,Twitter,2.1734035,41.3850639,78,5
singular,pasos,tail.setting,Murcia,Region of Murcia,absent,South,Murcia,murciarmediterr_nc0s000 antes_rg de_sp000 compactarse_vmn0000 la_da0000 manga_nc0s000,había_vaii000,más_rg pasos_nc0p000 que_pr000000 ahora_rg y_cc golas_nc0n000 de_sp000 la_da0000 encañizada_aq0000 tenían_vmii000 1m_z0 de_sp000 calado_nc0s000 y_cc ahora_rg 1_z0 palmo._nc0n000,other,Twitter,-1.1306544,37.9922399,76,5
singular,máquinas,head,Guadalajara,Castilla-La-Mancha,absent,Center,Yebra,ues antes ,había," unas máquinas que eran,",other,Coser,-2.9663075,40.3564009,16,8
singular,sombras,tail.setting,Barcelona,Catalonia,present,East,Sant Boi de Llobregat,antes_rg del_sp000 impresionismo_nc0s000 no_rn,había_vaii000,sombras_nc0p000 azules_aq0000 ._fposcar_vmn0000 wilde_vmip000 -lrb-_np00000 18541900_z0 -rrb-_np00000 dramaturgo_nc0s000 y_cc novelista_nc0s000 irlandés_aq0000 ._fphttpst.cowq5a1bkryd_nc0s000,other,Twitter,2.035041,41.3458415,83,7
singular,noticias,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,"rosypunto_nc0s000 oriateka_nc0s000 y_cc yo_pp000000 que_cs estuve_vmis000 mirando_vmg0000 hace_vmip000 días_nc0p000 ,_fc a_sp000 ver_vmn0000 si_cs",había_vaii000,noticias_nc0p000 de_sp000 ellos_pp000000 ..._fs -rrb-_np00000,other,Twitter,-3.7037902,40.4167754,19,8
singular,médicos,head,Córdoba,Andalucía,absent,South,Santaella,siempre ,ha habido, dos médicos,other,Coser,-4.8429898,37.5622053,5,7
singular,momentos,tail.setting,Madrid,Community of Madrid,present,Center,Madrid,"""_fe por_sp000 que_pr000000 no_rn volvemos_vmip000 risto_aq0000 mejide_nc00000 ""_fe httpst.codglwll0d51y_z0 cuando_pr000000 no_rn",hubo_vais000,malos_aq0000 momentos_nc0p000 por_sp000 qué_pt000000 pregunta_vmip000 q_np00000 no_rn tendrá_vmif000 respuesta._np00000,synthetic.preterit,Twitter,-3.7037902,40.4167754,46,8
singular,matrimonios,head,Madrid,Community of Madrid,absent,Center,Madrid,en_sp000 españa_nc0s000,hubo_vais000,47.721_z0 matrimonios_nc0p000 católicos_aq0000 en_sp000 2015_w ._fpes_vsip000 la_da0000 primera_ao0000 vez_nc0s000 desde_sp000 que_cs hay_vaip000 datos_nc0p000 que_pr000000 esta_dd0000 cifra_nc0s000 es_vsip000 inferior_aq0000 a_sp000 50.000_z0,synthetic.preterit,Twitter,-3.7037902,40.4167754,98,11
singular,cojones,tail.setting,Sevilla,Andalusia,present,South,Seville,no_rn,hubo_vais000,cojones_nc0p000 de_sp000 quitarle_vmsp000 el_da0000 trapo_nc0s000 ._fpdeberían_vmic000 dejar_vmn0000 sacarlo_nc0s000 así_rg ._fpviva_vmsp000 miura_nc0s000 !_fathttpst.coi7v1dyegui_nc0s000,synthetic.preterit,Twitter,-5.9844589,37.3890924,64,7
singular,preventas,tail.setting,Province of Girona,Catalonia,absent,East,Alp,capital967_z0 heidigros_nc0p000 oye_vmip000 donde_cs has_vaip000 estudiado_vmp0000 ._fpno_rn sabes_vmip000 qu_dp0000,hubo_vais000,preventas_nc0p000 en_sp000 ese_dd0000 partido_nc0s000 ese_dd0000 es_vsip000 la_da0000 politica_aq0000 de_sp000 keiko_aq0000 y_cc family_nc0s000,synthetic.preterit,Twitter,1.886116,42.3728449,52,9
singular,vacas,head,La Rioja,La Rioja,absent,North,Ausejo, en el redal también ,hubo, vacas. ,synthetic.preterit,Coser,-2.1683571,42.3426617,3,5
singular,beneficios,tail.setting,Biscay,Basque Country,present,North,Bilbao,creo_vmip000 que_cs el_da0000 athleticclub_aq0000 siempre_rg ha_vaip000 reinvertido_vmp0000 sus_dp0000 beneficios_nc0p000 -lrb-_np00000 deducción_nc0s000 en_sp000 impuesto_nc0s000 de_sp000 sociedades_nc0p000 -rrb-_np00000 y_cc no_rn,había_vaii000,beneficios_nc0p000 que_pr000000 tributar._np00000,other,Twitter,-2.9349852,43.2630126,14,10
singular,carreteras,tail.setting,Vizcaya,País Vasco,present,North,Gordexola,que no ,había, carreteras,other,Coser,-2.5074163,43.3672101,1,10
plural,opciones,tail.setting,Valencia,Valencian Community,absent,East,Valencia,parece_vmip000 que_cs en_sp000 el_da0000 futuro_nc0s000,habrán_vaif000,más_rg opciones_nc0p000 de_sp000 personalización_nc0s000 ..._fs en_sp000 serio_aq0000 me_pp000000 gustaría_vmic000 otro_di0000 peinado_vmp0000 httpst.co907pyyi8sz_nc0s000,other,Twitter,-0.3762881,39.4699075,81,8
singular,problemas,tail.setting,Barcelona,Catalonia,present,East,Barcelona,con_sp000 el_da0000 padre_nc0s000 de_sp000 rajoy_nc0s000 no_rn,hubo_vais000,"problemas_nc0p000 ,_fc pagábamos_vmii000 todos_di0000 ._fptoma_vmip000 nota_nc0s000 ,_fc pniquehttpst.covpf4xmgda6_nc0n000",synthetic.preterit,Twitter,2.1734035,41.3850639,53,9
singular,sandías,tail.setting,Málaga,Andalucía,absent,South,Antequera,"or ejemplo, la gente hacía, ",había, unas sandías que eran,other,Coser,-4.5593676,37.020001,15,7
singular,personas,head,Pontevedra,Galicia,absent,North,Vigo,rosamariaartal_aq0000 y_cc se_p0000000 queja_vmip000 de_sp000 que_cs,haya_vasp000,personas_nc0p000 que_pr000000 dan_vmip000 mala_aq0000 fama_nc0s000 a_sp000 su_dp0000 profesión_nc0s000 ..._fs,other,Twitter,-8.7207268,42.2405989,37,8
singular,centros,tail.setting,Málaga,Andalusia,absent,South,Málaga,"fittisand_nc00000 bueno_aq0000 ,_fc también_rg te_p0000000 digo_vmip000 que_cs para_sp000 algunas_di0000 cosas_nc0p000 está_vmip000 muy_rg bien_rg que_cs",haya_vasp000,"centros_nc0p000 de_sp000 referencia_nc0s000 ""_fe nacional_aq0000 ""_fe ._fpmás_rg experiencia_nc0s000",other,Twitter,-4.4212655,36.721261,41,7
singular,cuadrillas,head,Jaén,Andalucía,absent,South,Cabra del Santo Cristo,entonces cuadrillas de mujeres ,había,,other,Coser,-3.2872875,37.703349,0,10
singular,cuestiones,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,"de_sp000 la_da0000 torre_nc0s000 -lrb-_np00000 pp_nc0n000 -rrb-_np00000 ""_fe votaría_vmic000 sí_rg al_aq0000 acuerdo_nc0s000 de_sp000 ciudadanos_nc0p000 pero_cc",habría_vaic000,"cuestiones_nc0p000 que_pr000000 matizar_vmn0000 ""_fe httpst.coghno1h5vtj_z0 httpst.co6dq0wbxypv",other,Twitter,-3.7037902,40.4167754,54,10
singular,barrancos,tail.setting,Huelva,Andalucía,absent,South,Cortelazor,"y, y, y tos los que ",había, por allí que vivían en aquellos barrancos,other,Coser,-6.6252354,37.9359424,33,9
singular,problemas,tail.setting,Biscay,Basque Country,absent,North,Bilbao,viendo_vmg0000 que_cs,había_vaii000,problemas_nc0p000 con_sp000 el_da0000 vídeo_nc0s000 lo_pp000000 he_vaip000 resubido_vmp0000 se_p0000000 escucha_vmip000 bien_rg ahora_rg httpst.cobjnt6q5xgl_nc0s000,other,Twitter,-2.9349852,43.2630126,70,9
singular,casos,tail.setting,Navarra,Navarra,absent,North,Pamplona,carminamadrigal_nc0s000,había_vaii000,casos_nc0p000 como_cs la_da0000 barberá_vmif000 -rrb-_np00000,other,Twitter,-1.6457745,42.812526,22,5
singular,deportes,tail.setting,Sevilla,Andalusia,absent,South,Seville,que_cs,haya_vasp000,deportes_nc0p000 como_cs hípica_nc0s000 en_sp000 los_da0000 juegos_nc0p000 olímpicos_aq0000 y_cc no_rn este_dd0000 el_da0000 fútbol_nc0s000 sala_nc0s000 ..._fs en_sp000 fin._nc0s000,other,Twitter,-5.9844589,37.3890924,73,8
